"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209110car","McCaCh01","RB","Christian McCaffrey","CAR",0,0,0,0,0,0,0,0,0,10,33,1,9,5,4,24,0,21,0,0,10,10,0,10,"CAR","CLE",0,0,0,0,0,0,15.7,15.7,13.7,13.7,13.7,13.7,0,0,0,0,14,19,1,-12,36,0,43,81,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","NjokDa00","TE","David Njoku","CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,0,0,0,0,0,0,"CLE","CAR",0,0,0,0,0,0,1.7,1.7,1.2,1.2,1.2,1.2,0,0,0,0,0,0,0,2,5,0,71,89,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","FeltDe00","RB","Demetric Felton","CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"CLE","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,14,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","MayfBa00","QB","Baker Mayfield","CAR",16,27,235,1,1,4,28,75,84.6,5,6,1,7,0,0,0,0,0,0,1,4,36,32,4,"CAR","CLE",0,0,0,0,0,0,19,19,18,18,19,19,167,3,5,3,6,0,0,0,0,0,53,100,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","AndeRo04","WR","Robbie Anderson","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,102,1,75,0,0,0,0,0,0,"CAR","CLE",0,0,0,0,0,1,24.2,24.2,18.7,18.7,20.7,20.7,0,0,0,0,0,0,0,70.4,51,0,53,100,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","ThomIa00","TE","Ian Thomas","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,53,0,50,0,0,0,0,0,0,"CAR","CLE",0,0,0,0,0,0,7.3,7.3,6.3,6.3,6.3,6.3,0,0,0,0,0,0,0,33,31,0,35,66,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","SmitSh03","WR","Shi Smith","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,0,12,0,0,0,0,0,0,"CAR","CLE",0,0,0,0,0,0,2.2,2.2,1.7,1.7,1.7,1.7,0,0,0,0,0,0,0,24,12,0,41,77,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","TremTo00","TE","Tommy Tremble","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"CAR","CLE",0,0,0,0,0,0,1.1,1.1,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,-1,2,0,18,34,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","PeopDo00","WR","Donovan Peoples-Jones","CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,60,0,15,0,0,0,0,0,0,"CLE","CAR",0,0,0,0,0,0,12,12,9,9,9,9,0,0,0,0,0,0,0,86.9,1,1,66,83,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","BryaHa00","TE","Harrison Bryant","CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,18,0,10,0,0,0,0,0,0,"CLE","CAR",0,0,0,0,0,0,3.8,3.8,2.8,2.8,2.8,2.8,0,0,0,0,0,0,0,54,3,1,38,48,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","BellDa02","WR","David Bell","CLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CLE","CAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
