"game_id","Off_abbrev","Def_abbrev","fga","fgm","xpa","xpm","fga_0_39","fgm_0_39","fga_40_49","fgm_40_49","fga_50","fgm_50","player","Total_DKP","Total_FDP","Total_SDP","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202210020det","DET","SEA",1,1,4,2,0,0,1,1,0,0,"Dominik Eberle",6,6,6,"SEA","DET",48,45,"False","dome","fieldturf ",72,45,0,-3.5,"DET",47.5,2022-10-02
"202210020det","SEA","DET",3,2,6,6,2,1,0,0,1,1,"Jason Myers",14,14,14,"SEA","DET",48,45,"False","dome","fieldturf ",72,45,0,-3.5,"DET",47.5,2022-10-02
"202210020gnb","GNB","NWE",2,2,3,3,2,2,0,0,0,0,"Mason Crosby",9,9,9,"NWE","GNB",24,27,"True","outdoors","grass ",72,45,0,-9.5,"GNB",40,2022-10-02
"202210020gnb","NWE","GNB",1,1,3,3,1,1,0,0,0,0,"Nick Folk",6,6,6,"NWE","GNB",24,27,"True","outdoors","grass ",72,45,0,-9.5,"GNB",40,2022-10-02
"202210020htx","HOU","LAC",2,1,3,3,0,0,2,1,0,0,"Ka'imi Fairbairn",7,7,7,"LAC","HOU",34,24,"False","retractable roof (closed)","astroturf",72,45,0,-6,"LAC",45,2022-10-02
"202210020htx","LAC","HOU",2,2,4,4,0,0,0,0,0,0,"Dustin Hopkins",4,4,4,"LAC","HOU",34,24,"False","retractable roof (closed)","astroturf",72,45,0,-6,"LAC",45,2022-10-02
"202210020nor","MIN","NOR",5,5,2,1,3,3,2,2,0,0,"Greg Joseph",18,18,18,"MIN","NOR",28,25,"False","outdoors","grass",72,45,0,-4,"MIN",41.5,2022-10-02
"202210020nor","NOR","MIN",2,1,2,2,0,0,0,0,2,1,"Wil Lutz",7,7,7,"MIN","NOR",28,25,"False","outdoors","grass",72,45,0,-4,"MIN",41.5,2022-10-02
"202210020nyg","CHI","NYG",4,4,0,0,3,3,1,1,0,0,"Michael Badgley",13,13,13,"CHI","NYG",12,20,"False","outdoors","fieldturf ",72,45,0,-2.5,"NYG",38.5,2022-10-02
"202210020nyg","NYG","CHI",3,2,2,2,1,0,2,2,0,0,"Graham Gano",10,10,10,"CHI","NYG",12,20,"False","outdoors","fieldturf ",72,45,0,-2.5,"NYG",38.5,2022-10-02
"202210020phi","0","0",0,1,3,2,1,1,0,0,0,0,"Jake Elliott",5,5,5,"JAX","PHI",21,29,"False","outdoors","grass ",72,45,0,-6.5,"PHI",45.5,2022-10-02
"202210020phi","0","0",0,0,3,3,0,0,0,0,0,0,"Riley Patterson",3,3,3,"JAX","PHI",21,29,"False","outdoors","grass ",72,45,0,-6.5,"PHI",45.5,2022-10-02
"202210020pit","NYJ","PIT",1,1,3,3,1,1,0,0,0,0,"Greg Zuerlein",6,6,6,"NYJ","PIT",24,20,"False","outdoors","grass ",72,45,0,-3.5,"PIT",41.5,2022-10-02
"202210020pit","PIT","NYJ",2,2,2,2,0,0,0,0,2,2,"Chris Boswell",12,12,12,"NYJ","PIT",24,20,"False","outdoors","grass ",72,45,0,-3.5,"PIT",41.5,2022-10-02
"202210020rai","DEN","LVR",1,1,3,2,0,0,0,0,0,0,"Brandon McManus",2,2,2,"DEN","LVR",23,32,"False","dome","grass",72,45,0,-3,"LVR",45,2022-10-02
